Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2019-06-09,"-23,412463","-46,368955",BOM,10
2019-06-09,"-23,40871","-46,510011",BOM,12
2019-06-09,"-23,604825","-46,889045",BOM,17
2019-06-09,"-23,540328","-46,915367",BOM,3
2019-06-04,"-23,45491265061521","-46,47285674631745",NUBLADO,6
2019-06-02,"-23,442008","-46,796108",NUBLADO,1
2019-06-01,"-23,576355","-46,527502",NUBLADO,2
2019-06-01,"-23,30059243777333","-46,571951643016725",NUBLADO,5
2019-05-31,"-23,408249","-46,465658",BOM,22
2019-05-31,"-23,521571","-46,207783",NUBLADO,21
2019-05-31,"-23,523111","-46,772994",NUBLADO,23
2019-05-30,"-23,449391","-46,599101",NUBLADO,19
2019-05-24,"-23,600919","-46,491461",BOM,5
2019-05-22,"-23,431228","-46,411962",BOM,4
2019-05-21,"-23,35177307101706","-46,188656447051635",BOM,18
2019-05-20,"-23,648341","-46,580392",NUBLADO,14
2019-05-12,"-23,344715","-46,849666",NUBLADO,19
2019-05-11,"-23,637972","-46,767731",NUBLADO,22
2019-05-11,"-23,698963241168126","-46,37950330615394",BOM,23
2019-05-11,"-23,308271","-46,209109",BOM,1
2019-05-09,"-23,684522759234245","-46,85724648114825",NUBLADO,14
2019-05-06,"-23,425095","-46,494695",NUBLADO,12
2019-05-06,"-23,608774016923245","-46,758165850691476",NUBLADO,22
2019-05-05,"-23,601708","-46,595429",BOM,4
2019-05-05,"-23,667438","-46,729673",BOM,4
2019-05-02,"-23,506865","-46,895376",NUBLADO,14
2019-05-01,"-23,617596","-47,031292",NUBLADO,18
2019-05-01,"-23,637580465689986","-46,83220116398443",BOM,14
2019-04-30,"-23,51809608879967","-46,650505137096246",NUBLADO,12
2019-04-22,"-23,556037","-46,391872",NUBLADO,15
2019-04-22,"-23,660194","-46,843691",NUBLADO,16
2019-04-18,"-23,566907","-46,441886",NUBLADO,8
