Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2677,AVENIDA PRESTES MAIA,700.0,SAO PAULO,,,"AVENIDA PRESTES MAIA, 700, SAO PAULO","[-23.5399893802915, -46.63487748029149]",700,AVENIDA PRESTES MAIA,355236,355236AVENIDA PRESTES MAIA700SAO PAULO
2678,ESTRADA DA BARONESA,1695.0,SAO PAULO,,,"ESTRADA DA BARONESA, 1695, SAO PAULO","[-23.6993009802915, -46.76730243029149]",1695,ESTRADA DA BARONESA,355498,355498ESTRADA DA BARONESA1695SAO PAULO
2679,AVENIDA DOUTOR ANTONIO MARIA LAET,100.0,SAO PAULO,,,"AVENIDA DOUTOR ANTONIO MARIA LAET, 100, SAO PAULO","[-23.4818595802915, -46.60505298029151]",100,AVENIDA DOUTOR ANTONIO MARIA LAET,355547,355547AVENIDA DOUTOR ANTONIO MARIA LAET100SAO PAULO
2680,PARQUE RAPOSO TAVARES,26.0,SAO PAULO,,,"PARQUE RAPOSO TAVARES, 26, SAO PAULO","[-23.58963898029151, -46.75717588029149]",26,PARQUE RAPOSO TAVARES,355771,355771PARQUE RAPOSO TAVARES26SAO PAULO
2681,AVENIDA DOS OURIVES,100.0,SAO PAULO,,,"AVENIDA DOS OURIVES, 100, SAO PAULO","[-23.6553594802915, -46.6141414802915]",100,AVENIDA DOS OURIVES,356537,356537AVENIDA DOS OURIVES100SAO PAULO
2682,AVENIDA PIRACEMA,600.0,BARUERI,,,"AVENIDA PIRACEMA, 600, BARUERI","[-23.5062536802915, -46.83363218029151]",600,AVENIDA PIRACEMA,356622,356622AVENIDA PIRACEMA600BARUERI
2683,COMPLEXO VIARIO AYRTON SENNA  COMPLEXO VIARIO AYR,1.0,SAO PAULO,,,"COMPLEXO VIARIO AYRTON SENNA  COMPLEXO VIARIO AYR, 1, SAO PAULO","[-23.5891434, -46.6681199]",1,COMPLEXO VIARIO AYRTON SENNA  COMPLEXO VIARIO AYR,356949,356949COMPLEXO VIARIO AYRTON SENNA  COMPLEXO VIARIO AYR1SAO PAULO
2684,ACESSO SALIM FARAH MALUF,1.0,SAO PAULO,,,"ACESSO SALIM FARAH MALUF, 1, SAO PAULO","[-23.5307888802915, -46.5858580802915]",1,ACESSO SALIM FARAH MALUF,357040,357040ACESSO SALIM FARAH MALUF1SAO PAULO
2685,RUA ARQUITETO JAIME FONSECA RODRIGUES,203.0,SAO PAULO,,,"RUA ARQUITETO JAIME FONSECA RODRIGUES, 203, SAO PAULO","[-23.5537748802915, -46.70745738029149]",203,RUA ARQUITETO JAIME FONSECA RODRIGUES,357177,357177RUA ARQUITETO JAIME FONSECA RODRIGUES203SAO PAULO
2686,AVENIDA JACUPESSEGO,100.0,SAO PAULO,,,"AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]",100,AVENIDA JACUPESSEGO,357202,357202AVENIDA JACUPESSEGO100SAO PAULO
