,Logradouro,Numero/KM,Município
36092,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
36255,RUA ABILIO PEDRO RAMOS,,SAO PAULO
36263,AVENIDA ANIELO PRATICI,500,GUARULHOS
36282,ACESSO AVENIDA RAGUEB CHOHFI,7483,SAO PAULO
36283,RUA SOARES DE AVELLAR,,SAO PAULO
36348,AVENIDA VEREADOR JOSE DINIZ,,SAO PAULO
36350,RUA DOUTOR MARIANO JATATI MARCONDES FERRAZ,190,OSASCO
36356,AVENIDA PAULO FACINI,100,GUARULHOS
36357,ACESSO ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAI,1400,SAO PAULO
36361,AVENIDA DOUTOR JOSE FORNARI,10,SAO BERNARDO DO CAMPO
36362,IMIGRANTES,,SAO BERNARDO DO CAMPO
36433,RUA CHERIPA,,SAO PAULO
36447,AVENIDA JOAO VENTURA DOS SANTOS,1860,BARUERI
36546,AVENIDA DOUTOR JOSE FORNARI,100,SAO BERNARDO DO CAMPO
36634,AVENIDA PROFESSOR FRANCISCO MORATO,,SAO PAULO
36641,AVENIDA TRINTA E UM DE MARCO,10,SAO BERNARDO DO CAMPO
36648,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
36649,RUA MANUEL RODRIGUES SANTIAGO,70,FERRAZ DE VASCONCELOS
36655,SP 019,2,GUARULHOS
36805,PONTE TATUAPE,1,SAO PAULO
36807,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
36826,RUA BANDEIRA PAULISTA,,SAO PAULO
36890,ACESSO ESQUERDO   IMIGRANTES,13,SAO PAULO
36895,AVENIDA RAGUEB CHOHFI,100,SAO PAULO
36922,AVENIDA DOS ESTADOS,10300,SANTO ANDRE
36963,RUA PROFESSOR ALVARO PAVAN,2149,MOGI DAS CRUZES
36966,AVENIDA ALDA,2452,DIADEMA
36968,VIADUTO PROFESSOR JOSSEI TODA,10,GUARULHOS
36977,RUA JOSE FELIX,228,SAO PAULO
37054,ESTRADA DA ROSEIRA,8800,MAIRIPORA
37056,AVENIDA ARMANDO SALES DE OLIVEIRA,814,SUZANO
37057,RUA PEDRO MEDEIROS,22,SAO PAULO
37066,RUA DOMINGOS DE MORAIS,100,SAO PAULO
37075,RUA AFONSO LOPES VIEIRA,,SAO PAULO
37081,ACESSO AVENIDA REBOUCAS,100,SAO PAULO
37180,SP 230,281,EMBU DAS ARTES
37211,AVENIDA MARGINAL DO RIBEIRAO,5600,CARAPICUIBA
37267,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO
37269,SP 015,385,SAO PAULO
37272,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
37276,SP 70 OESTE,11,GUARULHOS
37288,AVENIDA SAPOPEMBA,2769,SAO PAULO
37354,SP 023,,FRANCO DA ROCHA
37361,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
37372,PRACA MINISTRO PEDRO CHAVES,230,SAO PAULO
37438,RUA DO LAVAPES,100,SAO PAULO
37440,AVENIDA WINSTON CHURCHIL,1679,SANTO ANDRE
37476,RUA DO GASOMETRO,571,SAO PAULO
37480,AVENIDA ROMANOFF,516,CARAPICUIBA
37486,PONTE TATUAPE,100,SAO PAULO
37487,RUA JOSE PEREIRA SOBRINHO,77,BARUERI
37488,RUA ROMA,672,COTIA
37489,RUA DO LAVAPES,,SAO PAULO
37517,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
37529,AVENIDA TRANSVERSAL SUL,1,SAO PAULO
37534,RUA MARSALA,,SAO PAULO
37540,AVENIDA NOVA ZELANDIA,381,SANTO ANDRE
37706,AVENIDA JORNALISTA ROBERTO MARINHO,,SAO PAULO
37709,AVENIDA DAS NACOES UNIDAS,150,OSASCO
37729,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,2000,SAO PAULO
37733,AVENIDA QUEIROS DOS SANTOS,1,SANTO ANDRE
37740,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
37761,ESTRADA VELHA DA OLARIA,3715,COTIA
37765,ACESSO ACESSO A  AYRTON SENNA,100,ITAQUAQUECETUBA
37838,RUA NOSSA SENHORA MAE DOS HOMENS,11,GUARULHOS
37841,ACESSO TUNEL PRESIDENTE JANIO QUADROS,10,SAO PAULO
37842,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
37930,PONTE ARICANDUVA,10,SAO PAULO
37985,RUA LUIZ GATTI,997,SAO PAULO
37988,MARGINAL TIETE EXPRESSA,,SAO PAULO
37995,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
38066,ALAMEDA GABRIEL MONTEIRO DA SILVA,794,SAO PAULO
38071,RUA DO ORFANATO,411,SAO PAULO
38072,AVENIDA MARGINAL DO RIBEIRAO,542,CARAPICUIBA
38074,ESTRADA DO CAMPO LIMPO,4237,SAO PAULO
38122,ESTRADA DO CAMPO LIMPO,100,SAO PAULO
38140,AVENIDA DOUTOR FELIPE PINEL,1800,SAO PAULO
38142,RUA DOIS,100,BARUERI
38143,MARGINAL  RAPOSO TAVARES,13,SAO PAULO
38184,ACESSO CUPECE,2692,SAO PAULO
38190,AVENIDA DOUTOR EDUARDO COTCHING,100,SAO PAULO
38205,AVENIDA BASSANO DEL GRAPPA,100,SAO PAULO
38258,IMIGRANTES,13,DIADEMA
38263,AVENIDA DOS ESTADOS,5825,SANTO ANDRE
38269,SP 015,,SAO PAULO
38270,RUA SARA KUBITSCHECK,962,SAO PAULO
38275,AVENIDA GIOVANNI GRONCHI,3107,SAO PAULO
38276,AVENIDA SANTOS DUMONT,10,SAO PAULO
38289,ACESSO PARA O VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE
38363,SP 348,13.4,SAO PAULO
38366,ESTRADA PINHEIRINHO VELHO,3200,ITAQUAQUECETUBA
38371,RUA REINALDO CESCHINI,215,OSASCO
38384,SP 066,10,ITAQUAQUECETUBA
38392,RUA BENEDITO SOARES CAPELO,,FRANCO DA ROCHA
38440,AVENIDA OTTO UNGER,100,MOGI DAS CRUZES
38443,ACESSO CUPECE,1110,SAO PAULO
38444,AVENIDA DO ESTADO,1,SAO PAULO
38455,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
38466,ACESSO AVENIDA DOM PEDRO II,2111,SANTO ANDRE
38535,ESTRADA DE ITAPECERICA,100,SAO PAULO
38537,AVENIDA GENERAL EDGAR FACO,1293,SAO PAULO
38539,RUA MARILIA,1,ITAQUAQUECETUBA
38547,ESTACAO METRO CARRAO,100,SAO PAULO
38563,PRACA ANGELO CONTI,2917,SAO PAULO
38617,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
38637,PONTE DO LIMAO,1,SAO PAULO
38686,AVENIDA INTERLAGOS,3665,SAO PAULO
38689,AVENIDA PRESIDENTE COSTA E SILVA,1178,SANTO ANDRE
38703,AVENIDA PIRAJUSSARA,3871,SAO PAULO
38707,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
38748,RUA SADAMU INOUE,5252,SAO PAULO
38754,AVENIDA NORDESTINA,5516,SAO PAULO
38771,ESTRADA MORRO GRANDE,100,COTIA
38864,RUA DOM LUIS,10,SAO BERNARDO DO CAMPO
38873,MARGINAL TIETE PISTA INTERMEDIARIA  KM8 5,,SAO PAULO
38878,ESTRADA DO PEQUIA,100,CARAPICUIBA
38884,SP 015,100,SAO PAULO
38947,SP 015,574,SAO PAULO
38964,SP 015,115.4,SAO PAULO
38966,AVENIDA REBOUCAS,100,SAO PAULO
38971,AVENIDA DOS REMEDIOS,1822,OSASCO
38972,ALAMEDA ALDA,102,SAO PAULO
38973,AVENIDA DO ESTADO,10,SAO PAULO
38980,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
39028,AVENIDA DOS ESTADOS,,SANTO ANDRE
39111,PRACA DA REPUBLICA,100,SAO PAULO
39115,AVENIDA LUIS RINK,1169,OSASCO
39129,RUA ALVARES CABRAL,645,DIADEMA
39196,ESTRADA CAUCAIA DO ALTO,6,VARGEM GRANDE PAULISTA
39201,AVENIDA MARGINAL DO RIBEIRAO,10,CARAPICUIBA
39205,ESTRADA DE SANTA ISABEL,1370,ARUJA
39209,RUA DAS JUNTAS PROVISORIAS,10,SAO PAULO
39259,AVENIDA CRUZEIRO DO SUL,1360,OSASCO
39263,SP 015,400,SAO PAULO
39268,ACESSO  DE ITAPECERICA,11540,SAO PAULO
39270,AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,100,GUARULHOS
39276,AVENIDA SARAIVA,100,MOGI DAS CRUZES
39287,PONTE ARICANDUVA,1,SAO PAULO
39323,RUA FRANCISCO MARENGO,1675,SAO PAULO
39324,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,10232,SAO PAULO
39367,ESTRADA DO PEDROSO,100,SANTO ANDRE
39371,RUA JOSE RAMON URTIZA,100,SAO PAULO
39429,AVENIDA DO RIO PEQUENO,805,SAO PAULO
39439,AVENIDA EDUARDO PEREIRA RAMOS,126,SAO PAULO
39442,ESTRADA DOS ALVARENGAS,100,SAO BERNARDO DO CAMPO
39518,TRAVESSA TERRA TOMBADA,100,SAO PAULO
39525,AVENIDA PAPA JOAO PAULO I,,GUARULHOS
39527,SP 031,100,SUZANO
39532,SP 015,385,SAO PAULO
39537,AVENIDA ROTARY,84,DIADEMA
39549,PRESIDENTE DUTRA BR 116,224,SAO PAULO
39614,AVENIDA PRESIDENTE WILSON,6741,SAO CAETANO DO SUL
39617,SP 348,13,SAO PAULO
39628,ACESSO RUA SAO TEODORO,577,SAO PAULO
39677,ESTRADA SANTA INES,3,SAO PAULO
39703,ACESSO AVENIDA REBOUCAS,100,SAO PAULO
39707,AVENIDA ROQUE PETRONI JUNIOR,1424,SAO PAULO
39708,RUA OSVALDO COLINO,1078,OSASCO
39788,AVENIDA IBIRAPUERA,3144,SAO PAULO
39796,RUA JOSE FRANCISCO BRANDAO,745,SAO PAULO
39797,PONTE DO LIMAO,10,SAO PAULO
39826,ESTRADA ITAQUERA GUAIANAZES,100,SAO PAULO
39837,RUA JOSE MARQUES RIBEIRO,10,CAJAMAR
39878,ACESSO MIGUEL INACIO CURI,500,SAO PAULO
39879,ESTRADA SANTA ISABEL,735,ITAQUAQUECETUBA
39881,VIADUTO DO GLICERIO,1,SAO PAULO
39884,ACESSO PARA MARGINAL TIETE CENTRAL,10,SAO PAULO
39886,RUA ENGENHEIRO RANULFO PINHEIRO LIMA,,SAO PAULO
39887,ESTRADA DE ITAPECERICA,11600,SAO PAULO
39946,SP 280,1,SAO PAULO
39948,VIADUTO PACAEMBU,100,SAO PAULO
39949,AVENIDA DOUTOR FRANCISCO RANIERI,833,SAO PAULO
39982,RUA TOMAS RIBEIRO COLACO,61,SAO PAULO
40053,ESTRADA DE ITAPECERICA,100,SAO PAULO
40055,ACESSO AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,1,SANTO ANDRE
40062,ESTRADA DO ALVARENGA,906,SAO PAULO
40073,RUA MIGUEL RACHID,520,SAO PAULO
40121,AVENIDA ARMANDO BEI,100,GUARULHOS
40123,AVENIDA VINTE E TRES DE MAIO,100,SAO PAULO
40134,RUA PROFESSOR ARIOVALDO SILVA,500,SAO PAULO
40137,AVENIDA ALDA,2450,DIADEMA
40150,RETORNO   BANDEIRANTES,100,CAIEIRAS
40151,AVENIDA MUNICIPAL,,BARUERI
40200,AVENIDA NOVO HORIZONTE,,SANTO ANDRE
40215,AVENIDA SAO MIGUEL,4546,SAO PAULO
40219,AVENIDA SAPOPEMBA,24717,SAO PAULO
40235,RUA POMPEIA,661,BARUERI
40291,AVENIDA LEONIL CRE BORTOLOSSO,1,OSASCO
40295,RUA CHIMARRAO,59,SAO PAULO
40305,ESTRADA DO PEDROSO,100,SANTO ANDRE
40327,BR 381,,GUARULHOS
40328,AVENIDA RAIMUNDO PREIRA DE MAGALHAES,16850,SAO PAULO
40363,SP 019,100,GUARULHOS
40373,RUA ENGENHEIRO OSCAR AMERICANO,480,SAO PAULO
40374,RUA NOBREGA DE SIQUEIRA,,SAO PAULO
40423,AVENIDA VINTE E TRES DE MAIO,12,SAO PAULO
40430,RUA GUILHERME CARIJO,371,SUZANO
40431,ACESSO RUA BRASILEIRA,200,GUARULHOS
40447,AVENIDA SENADOR TEOTONIO VILELA,2465,SAO PAULO
40451,PONTE DO PIQUERI,100,SAO PAULO
40453,SP 230,276,EMBU DAS ARTES
40519,SP 280,13,SAO PAULO
40520,ACESSO AVENIDA FRANCISCO RODRIGUES FILHO,50,MOGI DAS CRUZES
40529,AVENIDA DO ESTADO,10,SAO PAULO
40545,SP 015,245,SAO PAULO
40565,RUA CERRO CORA,,SAO PAULO
40566,AVENIDA JOAO PAULO I,770,EMBU DAS ARTES
40627,PRACA PEDRO LESSA,1,SAO PAULO
40631,PRACA MINISTRO PEDRO CHAVES,1,SAO PAULO
40640,AVENIDA BRASIL,,POA
40648,RUA ARTUR PEREIRA,17,SAO PAULO
40706,ESTRADA CAUCAIA DO ALTO,4419,VARGEM GRANDE PAULISTA
40725,AVENIDA GUARAPIRANGA,4497,SAO PAULO
40730,ESTRADA DOS ALVARENGAS,53207,SAO BERNARDO DO CAMPO
40731,RUA JOAO TEODORO,560,SAO PAULO
40797,RUA JOSE MELONI,100,MOGI DAS CRUZES
40814,AVENIDA LUIZ DUMONT VILLARES,392,SAO PAULO
40888,AVENIDA ALCANTARA MACHADO,88,SAO PAULO
40901,AVENIDA JOSE GALANTE,100,SAO PAULO
40910,RUA RAFAEL CORREA SAMPAIO,1350,SAO CAETANO DO SUL
40911,PONTE JOAO DIAS,100,SAO PAULO
40950,RUA VITORIA DO ESPIRITO SANTO,101,SAO PAULO
40968,AVENIDA OTAVIO BRAGA DE MESQUITA,1972,GUARULHOS
40978,AVENIDA SAPOPEMBA,25500,SAO PAULO
41011,ESTRADA DOS ALVARENGAS,100,SAO BERNARDO DO CAMPO
41046,RUA ALEXANDRE NEVSKI,119,SAO PAULO
41111,AVENIDA VALENTIM MAGALHAES,1195,SANTO ANDRE
41115,AVENIDA BRIGADEIRO LUIS ANTONIO,100,SAO PAULO
41118,SP 015,420,SAO PAULO
41131,AVENIDA ESTRADA DE POA,528,FERRAZ DE VASCONCELOS
41148,AVENIDA SANTA MARINA,100,SAO PAULO
41208,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
41220,ACESSO AVENIDA JACU PESSEGO,100,SAO PAULO
41223,AVENIDA SANTA CATARINA,2000,SAO PAULO
41233,RUA PRUDENTE DE MORAES,10,SUZANO
41234,ESTRADA DO ADERNO,1442,CARAPICUIBA
41237,AVENIDA SANTO ANDRE,349,RIBEIRAO PIRES
41297,RUA VOLUNTARIOS DA PATRIA,3307,SAO PAULO
41333,RUA DOUTOR JOSE AUGUSTO DE QUEIROZ,3113,SAO PAULO
41334,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
41393,RUA PASSOS,250,EMBU DAS ARTES
41400,VIADUTO SAO CARLOS,10,SAO PAULO
41408,VIADUTO RAPOSO TAVARES,12,SAO PAULO
41415,AVENIDA PAULO GUILGUER REIMBERG,2421,SAO PAULO
41418,AVENIDA GUARAPIRANGA,4671,SAO PAULO
41419,AVENIDA FERNANDO DE NORONHA,80,VARGEM GRANDE PAULISTA
41420,AVENIDA ESCOLA POLITECNICA,2800,SAO PAULO
41465,AVENIDA DOUTOR ALBERTO BENEDETE,149,SANTO ANDRE
41467,CAMINHO PINHEIRINHO VELHO,2036,ITAQUAQUECETUBA
41473,ACESSO ENGENHEIRO ORLANDO MURGEL,10,SAO PAULO
41491,RUA OSORIO DUQUE ESTRADA,10,OSASCO
41553,VALDIRIO PRISCO,86,RIBEIRAO PIRES
41555,RUA JOAO AMADO COUTINHO,649,SAO PAULO
41591,RUA DOMINGOS DE MORAIS,100,SAO PAULO
41605,AVENIDA JACUPESSEGO,100,SAO PAULO
41611,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
41614,AVENIDA SANTO AMARO,2626,SAO PAULO
41619,RUA SILVA BUENO,1873,SAO PAULO
41638,AVENIDA DOS BANDEIRANTES,100,SAO PAULO
41639,RUA RIBEIRAO,16,CARAPICUIBA
41641,AVENIDA ALCIDES SANGIRARDI,,SAO PAULO
41709,AVENIDA MARGINAL CSU,1598,CARAPICUIBA
41728,ACESSO CUPECE,2730,SAO PAULO
41741,AVENIDA PEDRO ALVARES CABRAL,100,SAO PAULO
41743,AVENIDA MARGINAL CSU,1598,CARAPICUIBA
41805,ESTRADA CAUCAIA DO ALTO,7,VARGEM GRANDE PAULISTA
41826,RUA OTAVIO MARQUES,117,SANTO ANDRE
41892,AVENIDA PRESIDENTE COSTA E SILVA,1178,SANTO ANDRE
41901,ESTRADA MORRO GRANDE,100,COTIA
41903,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
41914,ESTRADA CAUCAIA DO ALTO,3201,COTIA
41928,ACESSO MIGUEL INACIO CURI,100,SAO PAULO
41929,ESTRADA BENEDITO CESARIO DE OLIVEIRA,1671,TABOAO DA SERRA
41930,SP 031,433,SUZANO
41931,SP 280,1,SAO PAULO
41932,RUA FRANCISCO BORGES,126,SAO PAULO
41987,RUA NICOLAS LANCRET,2456,SAO PAULO
41988,SP 015,326,SAO PAULO
41990,SP 015,,SAO PAULO
41997,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
41998,RUA DOUTOR LUIZ AYRES,,SAO PAULO
42019,ESTRADA AGUA CHATA,2200,GUARULHOS
42020,AVENIDA JACUPESSEGO,100,SAO PAULO
42021,AVENIDA AFFONSO DESCRAGNOLLE TAUNAY,3800,SAO PAULO
42022,AVENIDA GUIDO CALOI,100,SAO PAULO
42075,AVENIDA NOSSA SENHORA DA ASSUNCAO,,SAO PAULO
42084,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
42100,ACESSO ANHANGUERA,11700,SAO PAULO
42108,AVENIDA ODAIR PACHECO PEDROSO,100,COTIA
42132,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
42134,RUA NELSOM FERREIRA DA COSTA,10,ITAPEVI
42145,RUA BAUMANN,,SAO PAULO
42202,ESTRADA DO LAGEADO VELHO,495,SAO PAULO
42214,RUA CAPITANIAS HEREDITARIAS,980,SAO PAULO
42296,VIADUTO CARLOS FERRACI,1,SAO PAULO
42302,ESTACAO METRO ARTUR ALVIM,10,SAO PAULO
42318,AVENIDA RENOVA DOS SANTOS,100,ARUJA
42319,ESTRADA ALBINO MARTELO,100,GUARULHOS
42321,AVENIDA CALIM EID,,SAO PAULO
42382,AVENIDA JACUPESSEGO,100,SAO PAULO
42396,RUA ANTONIO DIAS ADORNO,65,DIADEMA
42404,RETORNO COMPLEXO VIARIO MARIA MALUF,10,SAO PAULO
42420,AVENIDA MARECHAL TITO,,SAO PAULO
42422,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
42423,ACESSO A  RAPOSO TAVARES,29,COTIA
42424,RUA BELGRADO,,SAO PAULO
42425,AVENIDA DOS NACIONALISTAS,355,SAO PAULO
42426,RUA SILVA BUENO,2727,SAO PAULO
42428,PRESIDENTE DUTRA,100,GUARULHOS
42429,SP 280,1,SAO PAULO
42430,RUA DOS CALANGOS,100,SAO PAULO
42431,AVENIDA THOMAS MORGAN,74,SAO PAULO
42432,MARGINAL  RAPOSO TAVARES,14,SAO PAULO
42433,RUA SANTO ANTONIO,874,SAO PAULO
42473,SP 015,574,SAO PAULO
42508,AVENIDA BRIGADEIRO LUIS ANTONIO,4315,SAO PAULO
42510,AVENIDA DEPUTADO CANTIDIO SAMPAIO,4278,SAO PAULO
42511,RUA HELOISA,182,GUARULHOS
42512,RUA SILVA JARDIM,438,SAO PAULO
42515,AVENIDA MARIANA DE SOUZA GUERRA,59,SAO PAULO
42577,AVENIDA VINTE E TRES DE MAIO,,SAO PAULO
42579,RUA MELO PEIXOTO,660,SAO PAULO
42581,PRACA CAMPO DE BAGATELLE,1,SAO PAULO
42616,AVENIDA JACUPESSEGO,100,SAO PAULO
42623,AVENIDA AFRANIO PEIXOTO,338,DIADEMA
42631,RUA PARATININ,998,SAO PAULO
42688,PRESIDENTE DUTRA BR 116,,SANTA ISABEL
42699,AVENIDA SOROCABA,,SANTO ANDRE
42703,RUA VIOLETA SILVESTRE,59,SAO PAULO
42704,AVENIDA SOROCABA,,SANTO ANDRE
42705,RUA CEARA,525,BARUERI
42750,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
42756,RUA BRASILEIRA,196,GUARULHOS
42766,RUA GUARUJA,80,JANDIRA
42773,SP 023,37,CAIEIRAS
42779,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
42783,RUA ATLANTICA,2980,SAO PAULO
42784,RUA TRIMONTE,143,SAO PAULO
42787,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,12794,SAO PAULO
42840,SP 023,44.8,FRANCO DA ROCHA
42869,RUA JEQUIRITUBA,849,SAO PAULO
42870,RUA JULIO MACIEL,110,SAO PAULO
42910,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
42913,ESTACAO METRO CARRAO,120,SAO PAULO
42923,AVENIDA MARGINAL DO RIBEIRAO,3000,CARAPICUIBA
42934,PRACA SAMUEL SABATINE,100,SAO BERNARDO DO CAMPO
43000,ESTRADA DE ITAPECERICA,255,SAO PAULO
43005,AVENIDA CAPITAO JOAO,3680,MAUA
43011,AVENIDA MARQUES DE SAO VICENTE,2045,SAO PAULO
43012,AVENIDA SANTA INES,1665,SAO PAULO
43013,AVENIDA MARGINAL,100,CARAPICUIBA
43050,RUA JOAQUIM NABUCO,1283,SAO PAULO
43052,ACESSO AO SHOPPING INTERLAGOS,100,SAO PAULO
43053,AVENIDA BARAO DE ALAGOAS,,SAO PAULO
43059,AVENIDA CARMEM,1000,CARAPICUIBA
43066,RUA CONSELHEIRO BROTERO,1559,SAO PAULO
43069,PRESIDENTE PRESIDENTE CASTELLO BRANCO,,ITAPEVI
43072,AVENIDA SALIM FARAH MALUF,2,SAO PAULO
43073,RUA CHICO MENDES,1430,BARUERI
43076,SP 015,500,SAO PAULO
43080,ESTRADA DE ITAPECERICA,23502,SAO PAULO
43085,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
43128,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
43140,RUA TABORDA,4027,SAO PAULO
43153,RUA SABIA,240,MAUA
43216,VIADUTO CURUCA,10,SAO PAULO
43235,RUA ANTONIO BENTO,711,SAO PAULO
43237,AVENIDA ITABERABA,3203,SAO PAULO
43238,RUA AUGUSTO JOSE AVANCINI,241,SAO PAULO
43308,AVENIDA ELISEU DE ALMEIDA,,SAO PAULO
43310,RUA MOGEIRO,10,SAO PAULO
43314,AVENIDA ARESTOTELES COSTA PINTO,3200,SAO PAULO
43321,ESTRADA TURISTICA DO JARAGUA,980,SAO PAULO
43322,ACESSO ACESSO A   BANDEIRANTES,348,SAO PAULO
43323,AVENIDA DEPUTADO DT JOSE ARISTODERMO PINOTTY,1,SAO PAULO
43382,AVENIDA JOAO VENTURA DOS SANTOS,1884,OSASCO
43397,RUA DOUTOR AUGUSTO DE MIRANDA,86,SAO PAULO
43411,AVENIDA FAGUNDES DE OLIVEIRA,1712,DIADEMA
43412,RUA INACIO MONTEIRO,,SAO PAULO
43413,AVENIDA DOUTORA RUTH CARDOSO,1501,SAO PAULO
43463,RUA DOUTOR ABELARDO VERGUEIRO CESAR,,SAO PAULO
43464,AVENIDA SANTOS DUMONT,1,SAO PAULO
43552,AVENIDA JACANA,,SAO PAULO
43565,AVENIDA MIGUEL DE CASTRO,416,SAO PAULO
43566,AVENIDA INTERCONTINENTAL,266,TABOAO DA SERRA
43567,RUA REGINA CABALAU MENDONCA,825,SUZANO
43621,AVENIDA REBOUCAS,1111,SAO PAULO
43631,ESTRADA DE ITAPECERICA,12553,SAO PAULO
43658,AVENIDA SANTOS DUMONT,,SAO PAULO
43659,RUA SALVADOR GIANETTI,100,SAO PAULO
43660,RUA GEOVANE BATISTA PIRELI,200,SANTO ANDRE
43662,RUA ITAMBE,100,SAO PAULO
43698,AVENIDA PROFESSOR FRANCISCO MORATO,,SAO PAULO
43711,SANTA RITA,50,SAO LOURENCO DA SERRA
43714,AVENIDA JOAO VENTURA DOS SANTOS,2845,OSASCO
43722,ACESSO AVENIDA LUIS PEQUINI,1058,SAO BERNARDO DO CAMPO
43733,AVENIDA SPORT CLUB CORINTIANS PAULISTA,100,OSASCO
43734,ESTRADA DO M'BOI MIRIM,,SAO PAULO
43735,ACESSO  M BOI MIRIM,0.8,SAO PAULO
43736,RUA CORTEGACA,37,SAO PAULO
43738,RUA ALVARENGA,,SAO PAULO
43781,ESTRADA DE ITAPECERICA,100,SAO PAULO
43783,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
43786,ESTRADA PARA ITAQUAQUECETUBA,1525,ITAQUAQUECETUBA
43795,RUA VERGUEIRO,9264,SAO PAULO
43801,AVENIDA CORONEL SEZEFREDO FAGUNDES,273,SAO PAULO
43804,ESTRADA DOS ALVARENGAS,89446,SAO BERNARDO DO CAMPO
43816,RUA MIGUEL YUNES,950,SAO PAULO
43872,SP 354,50.3,FRANCO DA ROCHA
43877,SP 348,1,SAO PAULO
43880,PRACA SAO MARCOS,903,SAO PAULO
43883,AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI,1807,SAO PAULO
43900,AVENIDA SALIM FARAH MALUF,10,SAO PAULO
43908,ESTRADA CATA PRETA,131,SANTO ANDRE
43909,AVENIDA JURUBATUBA,1301,SAO PAULO
43961,AVENIDA PRESIDENTE ALTINO,1,SAO PAULO
43973,ESTRADA DO M'BOI MIRIM,6399,SAO PAULO
43985,RUA AVELINO TOLEDO DE LIMA,193,CAJAMAR
44040,SP 70 OESTE,100,GUARULHOS
44043,VIADUTO TERESA DELTA,100,SAO BERNARDO DO CAMPO
44051,AVENIDA VEREADOR JOSE DINIZ,,SAO PAULO
44053,AVENIDA ALDA,2163,DIADEMA
44055,AVENIDA DO RIO BONITO,1171,SAO PAULO
44056,RUA AURORA SOARES BARBOSA,100,OSASCO
44060,AVENIDA MARGINAL DO RIBEIRAO,5600,CARAPICUIBA
44071,ALAMEDA BARROS,935,SAO PAULO
44115,RUA ARVORE DA JUDEIA,45,SAO PAULO
44116,AVENIDA JORNALISTA PAULO ZINGG,1225,SAO PAULO
44163,AVENIDA CONSELHEIRO CARRAO,2000,SAO PAULO
44177,ESTRADA DE ITAPECERICA,2355,EMBU DAS ARTES
44296,ACESSO SAO MIGUEL,12567,SAO PAULO
44299,SP 015,,SAO PAULO
44307,AVENIDA CONSELHEIRO CARRAO,,SAO PAULO
44311,AVENIDA CONDESSA ELISABETH DE ROBIANO,6100,SAO PAULO
44312,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,,SANTO ANDRE
44365,AVENIDA IMIRIM,,SAO PAULO
44367,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
44372,SP 015,,SAO PAULO
44378,AVENIDA DO CURSINO,,SAO PAULO
44386,RUA ORLANDO LOPES DA SILVA,5,POA
44436,RUA TIQUATIRA,1565,SAO PAULO
44469,RUA APINAGES,1268,SAO PAULO
44471,RUA RIO DE JANEIRO,44,DIADEMA
44533,RUA CONCRETEX,100,GUARULHOS
44561,VIA MARECHAL RONDON,,BARUERI
44562,RUA BASILEIA,,SANTO ANDRE
44563,RUA ORATORIO,3000,SANTO ANDRE
44565,RUA PEDRO GONCALVES MEIRA,279,SAO PAULO
44616,SP 019,100,GUARULHOS
44626,AVENIDA SAPOPEMBA,24717,SAO PAULO
